coffee_name;total_score;roaster_location;coffee_origin;roast_level;est._price;agtron_ground;agtron_roast;price_per_100g;price_per_ounce;origin_country;clean_roaster_location;roaster_country;origin_country_clean
Colombia Yellow Geisha Granja Paraiso 92;94;Hilo, Hawaii;Piendamo, Cauca Department, Colombia;Light;$40.00/4 ounces;64;84;35.27;40;Colombia;Hilo, Hawaii;USA;Colombia
Yaye Chericho Ethiopia Espresso;95;Madison, Wisconsin;Chericho, Sidamo growing region, Ethiopia;Medium Light;$22.00/8 ounces;60;78;9.7;22;Ethiopia;Madison, Wisconsin;USA;Ethiopia
Colombia Chachagüí Mild Roast;94;Madison, Wisconsin;Chachagüí, Nariño Department, Colombia;Light;$21.00/12 ounces;64;86;6.17;21;Colombia;Madison, Wisconsin;USA;Colombia
Colombia Thermal Shock Double Anaerobic Granja Paraiso Orange Gesha;95;Chia-Yi, Taiwan;Piendamo, Cauca, Colombia;Light;NT $450/4 ounces;64;80;396.83;450;Colombia;Chia-Yi, Taiwan;Taiwan;Colombia
Kenya Nyeri Hill Estate AA Top Espresso;94;Chia-Yi, Taiwan;Nyeri growing region, south-central Kenya;Medium Light;NT $290/8 ounces;60;80;127.87;290;Kenya;Chia-Yi, Taiwan;Taiwan;Kenya
Colombia Granja Paraiso 92 Anaerobic Gesha;94;Chia-Yi, Taiwan;Piendamo, Cauca, Colombia;Light;NT $450/4 ounces;62;84;396.83;450;Colombia;Chia-Yi, Taiwan;Taiwan;Colombia
Putra Gayo Sumatra Espresso;95;Madison, Wisconsin;Aceh Province, Sumatra, Indonesia;Medium Light;$23.00/12 ounces;59;77;6.76;23;Indonesia;Madison, Wisconsin;USA;Indonesia
Colombia Paraiso 92 Geisha Double Anaerobic;95;Taitung, Taiwan;Piendamó, Cauca Department, Colombia;Light;NT $750/200 grams;62;82;375;26.45502646;Colombia;Taitung, Taiwan;Taiwan;Colombia
Kenya Blackberry Honey;94;Taitung, Taiwan;Rift Valley Province, Kenya;Light;NT $350/200 grams;62;80;175;12.34567901;Kenya;Taitung, Taiwan;Taiwan;Kenya
Putra Gayo Sumatra;94;Madison, Wisconsin;Aceh Province, Sumatra, Indonesia;Medium Light;$23.00/12 ounces;59;77;6.76;23;Indonesia;Madison, Wisconsin;USA;Indonesia
Ethiopia Sidamo Heidenröslein Anaerobic Washed G1;94;Zhubei, Taiwan;Bensa District, Sidamo growing region, Ethiopia;Light;NT $350/227 grams;67;86;154.19;12.34567901;Ethiopia;Zhubei, Taiwan;Taiwan;Ethiopia
Kenya Gachika;94;Fort Wayne, Indiana;Kiamworia, Kiambu County, Kenya;Light;$21.00/12 ounces;62;80;6.17;21;Kenya;Fort Wayne, Indiana;USA;Kenya
Ethiopia Agaro Duromina;94;Berkeley, California;Agaro Gera, Jimma Zone, Oromia State, Ethiopia;Medium Light;$26.00/12 ounces;58;77;7.64;26;Ethiopia;Berkeley, California;USA;Ethiopia
Hey Much Espresso Blend;94;Chia-Yi, Taiwan;Guatemala, Honduras, Colombia;Medium Light;NT $225/8 ounces;56;80;99.21;225;Colombia;Chia-Yi, Taiwan;Taiwan;Colombia
Ethiopia Black Honey Guji Wate Lot Tabby;94;Chia-Yi, Taiwan;Guji Zone, Oromia Region, southern Ethiopia;Light;NT $340/8 ounces;63;81;149.91;340;Ethiopia;Chia-Yi, Taiwan;Taiwan;Ethiopia
Finca Vista Hermosa Edwin’s Reserve Guatemala;94;San Diego, California;Huehuetenango, Guatemala;Light;$21.34/12ounces;63;81;6.27;21.34;Guatemala;San Diego, California;USA;Guatemala
Costa Rica Las Lajas Perla Negra;95;Durango, Colorado;Sabanilla de Alajuela growing region, Costa Rica;Medium Light;$18.95/12 ounces;58;80;5.57;18.95;Rica;Durango, Colorado;USA;Costa Rica
Kenya AA Top Gicherori Espresso;95;Yilan, Taiwan;Embu County, Kenya;Medium;NT 550/200 grams;44;62;275;19.40035273;Kenya;Yilan, Taiwan;Taiwan;Kenya
Kagunyu Kenya;94;Madison, Wisconsin;Nyeri County, Kenya;Medium Light;$22.00/12 ounces;60;78;6.47;22;Kenya;Madison, Wisconsin;USA;Kenya
Colombia Finca Milan Washed Nitro Caturra;95;Billings, Montana;Vereda El Hoga, Risaralda, Colombia;Light;$32.00/12 ounces;64;84;9.41;32;Colombia;Billings, Montana;USA;Colombia
Ethiopia JemJem;94;Ashland, Oregon;Wenago district, Gedeo Zone, SNNPR, Ethiopia;Light;$24.00/12 ounces;62;80;7.05;24;Ethiopia;Ashland, Oregon;USA;Ethiopia
Guatemala La Esperanza Anaerobic;94;Peoria, Illinois;Hoja Blanca, Huehuetenango, Guatemala;Light;$24.00/12 ounces;64;86;7.05;24;Guatemala;Peoria, Illinois;USA;Guatemala
Sumatra Pantan Musara;94;Fort Wayne, Indiana;Pegasing, Takengon, Aceh Province, Sumatra, Indonesia;Medium Light;$22.00/12 ounces;60;78;6.47;22;Indonesia;Fort Wayne, Indiana;USA;Indonesia
Costa Rica Candelilla Gesha;94;Floyd, Virginia;Tarrazu, Costa Rica;Light;$35.00/12 ounces;64;84;10.29;35;Rica;Floyd, Virginia;USA;Costa Rica
Kona Red Bourbon Anaerobic Washed Kona Rainforest;95;Hilo, Hawaii;South Kona growing region, Big Island of Hawai’i;Light;$60.00/4 ounces;60;82;52.91;60;;Hilo, Hawaii;USA;
Colombia Geisha Claudia Samboni;95;Reno, Nevada;Peñas Blancas Mountains, Acevedo, Colombia;Medium Light;$30.00/12 ounces;61;80;8.82;30;Colombia;Reno, Nevada;USA;Colombia
Ethiopia Ethiopia Limu Baby Geisha Natural;94;Taitung, Taiwan;Guji Zone, Oromia Region, southern Ethiopia;Medium Light;NT 380/200 grams;56;84;190;13.40388007;Ethiopia;Taitung, Taiwan;Taiwan;Ethiopia
Panama Hacienda La Esmeralda Ethiopian Accessions;94;Hilo, Hawaii;Boquete growing region, western Panama;Light;$40.00/4 ounces;65;84;35.27;40;Panama;Hilo, Hawaii;USA;Panama
Yellow;94;Billings, Montana;Yirgacheffe growing region, south-central Ethiopia;Light;$21.50/12 ounces;74;100;6.32;45798;Ethiopia;Billings, Montana;USA;Ethiopia
Kona Noir;95;Mountain View, Hawai’i;Holualoa, Kona, Big Island of Hawai’i;Light;$59.00/10 ounces;62;84;20.81;59;;Mountain View, Hawaii;USA;
Laura’s Reserve SL34;97;Holualoa, Hawai’i;Holualoa, North Kona growing district, “Big Island” of Hawai’i;Light;$69.95/8 ounces;62;80;30.84;69.95;;Holualoa, Hawaii;USA;
Panama Mokkita Natural Mama Cata Estate;96;Hilo, Hawaii;Boquete, Panama;Light;$250/4 ounces;64;82;220.46;250;Panama;Hilo, Hawaii;USA;Panama
Ka‘ū Cloud Maragogipe;95;Mountain View, Hawai'i;Ka‘ū growing region, “Big Island” of Hawai’i;Medium Light;$29.00/4 ounces;58;76;25.57;29;;Mountain View, Hawaii;USA;
Geisha Champagne;94;Holualoa, Hawai’i;Holualoa, North Kona growing district, “Big Island” of Hawai’i;Medium Light;$82.00/4 ounces;58;77;72.31;82;;Holualoa, Hawaii;USA;
JN Farms Double Anaerobic Red Bourbon;94;Kihei, Maui, Hawai’i;Ka‘ū growing region, Big Island of Hawai’i;Light;$32.00/8 ounces;64;82;14.11;32;;Maui, Hawaii;USA;
Ka‘ū Classic Peaberry;94;Pahala, “Big Island” of Hawai’i;"Ka‘ū growing district, ""Big Island"" of Hawai’i";Medium Light;$30.00/7 ounces;58;74;15.12;30;;Pahala, Hawaii;USA;
100% Kona Typica;94;Holualoa, Hawai’i;Kona growing region, Big Island of Hawai’i;Medium Light;$27.95/7 ounces;58;80;14.08;27.95;;Holualoa, Hawaii;USA;
Colombia 510 Elegante Natural Geisha;95;Fort Wayne, Indiana;Manizales, Caldas, Colombia;Light;$10.00/4 ounces (sold only as a two-pack);62;82;8.82;10;Colombia;Fort Wayne, Indiana;USA;Colombia
Colombia Turron;94;Fort Wayne, Indiana;Manizales, Caldas, Colombia;Medium Light;$10.00/4 ounces (sold only as a two-pack);58;78;8.82;10;Colombia;Fort Wayne, Indiana;USA;Colombia
Black Geisha Blend Lab 18 Espresso;94;Taichung, Taiwan;Guatemala, Colombia, Ethiopia;Medium;$40.00/8 ounces;43;61;17.64;40;Ethiopia;Taichung, Taiwan;Taiwan;Ethiopia
Ethiopia Layo Teraga;95;Fort Wayne, Indiana;Sidamo growing region, southern Ethiopia;Light;$23.00/12 ounces;62;80;6.76;23;Ethiopia;Fort Wayne, Indiana;USA;Ethiopia
Ethiopia Reko Yirgacheffe;94;Sacramento, California;Yirgacheffe growing region, southern Ethiopia;Medium Light;$24.50/12 ounces;58;76;7.2;45801;Ethiopia;Sacramento, California;USA;Ethiopia
Colombia Huila El Diviso Nestor Lasso Geisha Washed;95;Taipei, Taiwan;Bruselas, Pitalito, Huila Department, Colombia;Light;NT$780/227 grams;66;84;343.61;27.51322751;Colombia;Taipei, Taiwan;Taiwan;Colombia
Ethiopia Bensa Bombe;94;Taipei, Taiwan;Bombe Village, Bensa District, Sidamo growing region, Ethiopia;Light;NT$200/8 ounces;64;86;88.18;200;Ethiopia;Taipei, Taiwan;Taiwan;Ethiopia
Colombia  Nariño Villa Maria La Chorrera Geisha Washed;94;Taipei, Taiwan;Nariño Department, Colombia;Medium Light;NT$710/227 grams;60;76;312.78;25.04409171;Colombia;Taipei, Taiwan;Taiwan;Colombia
Kenya Kirinyaga County Gikirima Factory TOP PB;94;Taipei, Taiwan;Embu County, Kenya;Medium Light;NT$240/227 grams;60;78;105.73;8.465608466;Kenya;Taipei, Taiwan;Taiwan;Kenya
Colombia Huila Finca Buena Vista Geisha Washed;94;Taipei, Taiwan;El Jardin, Pitalito, Huila Department, Colombia;Medium Light;NT$650/227 grams;60;80;286.34;22.92768959;Colombia;Taipei, Taiwan;Taiwan;Colombia
Wilton Benitez Geisha;96;Madison, Wisconsin;Piendamo, Cauca Department, Colombia;Light;$27.00/8 ounces;62;80;11.9;27;Colombia;Madison, Wisconsin;USA;Colombia
Ethiopia Natural Guji Blue Donkey 23/02;95;Chia-Yi, Taiwan;Guji Zone, Oromia Region, southern Ethiopia;Medium Light;NT$325/8 ounces;62;78;143.3;325;Ethiopia;Chia-Yi, Taiwan;Taiwan;Ethiopia
Ethiopia Natural Sidama Arbegona Bochessa;95;Chia-Yi, Taiwan;Sidamo growing region, southern Ethiopia;Light;NT$325/8 ounces;64;86;143.3;325;Ethiopia;Chia-Yi, Taiwan;Taiwan;Ethiopia
Peru Natural Villa Rica Espresso;94;Chia-Yi, Taiwan;Oxapampa, Pasco, Peru;Medium Light;NT$250/8 ounces;58;78;110.23;250;Peru;Chia-Yi, Taiwan;Taiwan;Peru
Costa Rica TIM Washed Don Eli Catuai;94;Chia-Yi, Taiwan;Tarrazu, Costa Rica;Medium Light;NT$270/4 ounces;58;74;238.1;270;Rica;Chia-Yi, Taiwan;Taiwan;Costa Rica
Ethiopia Natural Sidama Twakok Pearl Selection;94;Chia-Yi, Taiwan;Sidamo growing region, southern Ethiopia;Light;NT$300/8 ounces;62;80;132.28;300;Ethiopia;Chia-Yi, Taiwan;Taiwan;Ethiopia
Kenya Washed Uklili AA;94;Chia-Yi, Taiwan;Nakuru County, Kenya;Light;NT$325/8 ounces;64;86;143.3;325;Kenya;Chia-Yi, Taiwan;Taiwan;Kenya
Peach-C Blend;94;Zhubei, Taiwan;Ethiopia, Colombia;Light;NT$ 366/8 ounces;62;84;161.38;366;Colombia;Zhubei, Taiwan;Taiwan;Colombia
Colombia Jaime Lopez;94;San Diego, California;Santa Barbara, Antioquia, Colombia;Light;$40.00/12 ounces;62;82;11.76;40;Colombia;San Diego, California;USA;Colombia
Cordillera de Fuego Costa Rica;94;Madison, Wisconsin;Tarrazu, Costa Rica;Medium Light;$18.00/8 ounces;59;77;7.94;18;Rica;Madison, Wisconsin;USA;Costa Rica
Nyeri Hill Kenya;94;Madison, Wisconsin;Nyeri growing region, south-central Kenya;Medium Light;$22.00/12 ounces;56;74;6.47;22;Kenya;Madison, Wisconsin;USA;Kenya
Ethiopia Guji 74110 Natural;94;Taichung, Taiwan;Guji Zone, Oromia Region, Southern Ethiopia;Light;NT$ 550/227 grams;64;86;242.29;19.40035273;Ethiopia;Taichung, Taiwan;Taiwan;Ethiopia
Good Tidings Sweet Holiday Blend;94;Floyd, Virginia;Costa Rica, Ethiopia;Medium Light;$22.00/12 ounces;60;78;6.47;22;Ethiopia;Floyd, Virginia;USA;Ethiopia
Kona Mokka Champagne Natural;95;Hilo, Hawaii;Kona growing region, Big Island of Hawai’i;Light;$100.00/4 ounces;64;86;88.18;100;;Hilo, Hawaii;USA;
Ethiopia Banko Gotiti;94;Taipei, Taiwan;Gedeb District, Gedeo Zone, southern Ethiopia;Light;NT$ 400/200 grams;64;82;200;14.10934744;Ethiopia;Taipei, Taiwan;Taiwan;Ethiopia
O-Li-A Geisha Blend;94;Taipei City, Taiwan;Panama, Colombia, Ethiopia;Light;NT$ 970/227 grams;64;86;427.31;34.21516755;Ethiopia;Taipei, Taiwan;Taiwan;Ethiopia
Colombia Huila El Triunfo Pink Bourbon Anaerobic Washed;94;Taipei, Taiwan;Huila Department, Colombia;Medium Light;NT$ 539/8 ounces;52;78;237.65;539;Colombia;Taipei, Taiwan;Taiwan;Colombia
Costa Rica Volcán Azul Gesha Anaerobic Natural;94;San Diego, California;Poás Volcano, Alajuela, Costa Rica;Light;$59.00/8 ounces;64;80;26.01;59;Rica;San Diego, California;USA;Costa Rica
Chang-E The Moon Goddess Espresso;94;Taoyuan, Taiwan;Colombia, Costa Rica, Kenya, Ethiopia;Medium;NT$ 650/8 ounces;46;70;286.6;650;Ethiopia;Taoyuan, Taiwan;Taiwan;Ethiopia
GW03 Princesa Carmen Geisha;98;Yilan, Taiwan;Paso Ancho, Panama;Medium Light;NT$ 2,500/20 grams;58;74;10;;Panama;Yilan, Taiwan;Taiwan;Panama
El Salvador Finca Loma La Gloria Yellow Honey;94;Sacramento, California;El Bálsamo Quetzaltepec growing region, El Salvador;Medium Light;$20.00/12 ounces;58;78;5.88;20;Salvador;Sacramento, California;USA;El Salvador
Costa Rica La Laguna Lot — Reserve Series;94;Sacramento, California;Tarrazu, Costa Rica;Medium Light;$23.00/12 ounces;60;78;6.76;23;Rica;Sacramento, California;USA;Costa Rica
Rwanda Silverback Plus Espresso;95;Taoyuan, Taiwan;Kageyo, Eastern Province, Rwanda;Light;NT$ 800/8 ounces;48;689;352.73;800;Rwanda;Taoyuan, Taiwan;Taiwan;Rwanda
Colombia El Paraiso Geisha Luna Washed;95;Osaka, Japan;Piendamo, Cauca Department, Colombia;Light;$27.00/100 grams;70;85;27;0.952380952;Colombia;Osaka, Japan;Japan;Colombia
Costa Rica Volcán Azul Gesha Anaerobic Natural;95;Topeka, Kansas;Poás Volcano, Alajuela, Costa Rica;Light;$26.00/8 ounces;66;82;11.46;26;Rica;Topeka, Kansas;USA;Costa Rica
Kona Pointu®;97;Holualoa, Hawai’i;Holualoa, North Kona growing district, “Big Island” of Hawai’i;Medium Light;$69.95/8 ounces;52;72;30.84;69.95;;Holualoa, Hawaii;USA;
Colombia Calderon Honey;96;Billings, Montana;Huila Department, Colombia;Medium Light;$32.25/12 ounces;60;78;9.48;32.25;Colombia;Billings, Montana;USA;Colombia
Karen J Kona Red Bourbon;95;Holualoa, Hawai’i;Holualoa, North Kona growing district, “Big Island” of Hawai’i;Medium Light;$54.95/8 ounces;58;78;24.23;54.95;;Holualoa, Hawaii;USA;
Wilton Benitez Colombia Sidra;96;Jersey City, New Jersey;Piendamo, Cauca Department, Colombia;Light;$60.00/250 grams;65;83;24;2.116402116;Colombia;Jersey, New Jersey;USA;Colombia
Peru Gilmer Cordova #13;95;Lexington, Virginia;Cajamarca, Peru;Light;$29.00/12 ounces;64;88;8.52;29;Peru;Lexington, Virginia;USA;Peru
Ethiopia Kayon Mountain;95;Lexington, Virginia;Odo Shakiso District, Guji Zone, southern Ethiopia;Light;$24.00/12 ounces;64;84;7.05;24;Ethiopia;Lexington, Virginia;USA;Ethiopia
Kenya Gichathaini;95;Lexington, Virginia;Nyeri growing region, south-central Kenya;Light;$26.00/12 ounces;62;80;7.64;26;Kenya;Lexington, Virginia;USA;Kenya
Colombia Honey Sweet Rose;95;Taichung, Taiwan;Huila Department, Colombia;Light;NT$ 520/8 ounces;62;80;229.28;520;Colombia;Taichung, Taiwan;Taiwan;Colombia
Colombia Santa Monica Castillo Honey Lulo;94;Floyd, Virginia;Quindio Department, Colombia;Light;$33.00/8 ounces;74;90;14.55;33;Colombia;Floyd, Virginia;USA;Colombia
Colombia Las Flores Red Bourbon Natural;94;Livingston, Montana;Acevedo, Huila Department, Colombia;Medium Light;$29.95/12 ounces;60;78;8.8;29.95;Colombia;Livingston, Montana;USA;Colombia
African Dance Espresso Blend;94;Hsinchu, Taiwan;Kenya, Ethiopia, Guatemala;Medium Light;$17.00/6 ounces;60;78;9.99;17;Guatemala;Hsinchu, Taiwan;Taiwan;Guatemala
Sweetheart Blend Espresso;94;Hsinchu, Taiwan;Ethiopia, Guatemala;Medium Light;$15.00/8 ounces;58;78;6.61;15;Guatemala;Hsinchu, Taiwan;Taiwan;Guatemala
Kenya AA Kiri;95;Crystal Lake, Illinois;Kirinyaga County, south-central Kenya;Light;$26.00/12 ounces;64;80;7.64;26;Kenya;Crystal Lake, Illinois;USA;Kenya
Guatemala Gesha;95;Taoyuan, Taiwan;Aqua Dulce, Cuilco, Huehuetenango, Guatemala;Medium Light;NT $750/4 ounces;60;77;661.38;750;Guatemala;Taoyuan, Taiwan;Taiwan;Guatemala
Gesha Village Ethiopia Gori Gesha;94;Taoyuan, Taiwan;Gori Gesha Forest, Bench Maji Zone, SNNPR Region, Ethiopia;Light;NT $450/8 ounces;62;80;198.41;450;Ethiopia;Taoyuan, Taiwan;Taiwan;Ethiopia
Kenya Machakos AA Top Washed;96;Taipei, Taiwan;Machakos County, Kenya;Light;NT $409/8 ounces;62;82;180.34;409;Kenya;Taipei, Taiwan;Taiwan;Kenya
Indonesia Sumatra Raja Harimau Lintong Mandheling Espresso;95;Chia-Yi, Taiwan;Lintong growing region, North Sumatra, Indonesia;Medium Light;NT $260/8 ounces;58;77;114.64;260;Indonesia;Chia-Yi, Taiwan;Taiwan;Indonesia
Ethiopia Washed Guji Bishala 23/02;95;Chia-Yi, Taiwan;Guji Zone, Oromia Region, southern Ethiopia;Medium Light;NT $350/8 ounces;60;80;154.32;350;Ethiopia;Chia-Yi, Taiwan;Taiwan;Ethiopia
Guatemala Washed Huehuetenango Joya Verde Espresso;94;Chia-Yi, Taiwan;Huehuetenango, Guatemala;Medium Light;NT $220/8 ounces;58;79;97;220;Guatemala;Chia-Yi, Taiwan;Taiwan;Guatemala
Ethiopia Red Honey Guji Uraga Tabe Haro Wachu;94;Chia-Yi, Taiwan;Sidamo growing region, southern Ethiopia;Medium Light;NT $340/8 ounces;58;78;149.91;340;Ethiopia;Chia-Yi, Taiwan;Taiwan;Ethiopia
Ethiopia Natural Sidama Bare Tamiru;94;Chia-Yi, Taiwan;Sidamo growing region, southern Ethiopia;Light;NT $390/8 ounces;64;78;171.96;390;Ethiopia;Chia-Yi, Taiwan;Taiwan;Ethiopia
Colombia Wilton Benitez Thermal Shock Geisha;96;Chicago, Illinois;Piendamo, Cauca Department, Colombia;Medium Light;$58.00/8 ounces;60;78;25.57;58;Colombia;Chicago, Illinois;USA;Colombia
Colombia Wilton Benitez Thermal Shock Red Bourbon;95;Chicago, Illinois;Piendamo, Cauca Department, Colombia;Medium Light;$38.00/8 ounces;60;78;16.75;38;Colombia;Chicago, Illinois;USA;Colombia
Colombia Tolima Genius;94;Chicago, Illinois;Huila Department, Colombia;Light;$35.00/8 ounces;61;83;15.43;35;Colombia;Chicago, Illinois;USA;Colombia
Colombia Wilton Benitez Thermal Shock Caturra;94;Chicago, Illinois;Piendamo, Cauca Department, Colombia;Medium Light;$35.00/8 ounces;60;77;15.43;35;Colombia;Chicago, Illinois;USA;Colombia
Ethiopia Natural Yirgacheffe Koke Shalaye Abraham Mengiste;94;Taipei, Taiwan;Yirgacheffe growing region, south-central Ethiopia;Medium Light;NT $400/8 ounces;60;76;176.37;400;Ethiopia;Taipei, Taiwan;Taiwan;Ethiopia
Kenya AA TOP Gicherori;97;Yilan, Taiwan;Embu County, Kenya;Medium Light;NT $550/200 grams;60;78;275;19.40035273;Kenya;Yilan, Taiwan;Taiwan;Kenya
Panama Carmen Geisha Washed Light Roast;95;Yilan, Taiwan;Paso Ancho, Panama;Light;NT $12,500/100 grams;62;82;12;;Panama;Yilan, Taiwan;Taiwan;Panama
Colombia Luna Azul;94;Lexington, Virginia;Santa Bárbara, Antioquia, Colombia;Medium Light;$28.00/12 ounces;60;76;8.23;28;Colombia;Lexington, Virginia;USA;Colombia
Mexico Los Aguacates;95;Manlius, New York;Tenejapa, Chiapas, Mexico;Light;$42.00/12 ounces;65;82;12.35;42;Mexico;Manlius, New York;USA;Mexico
Ethiopia Arbegona Natural 74158;95;Taipei, Taiwan;Sidamo growing region, south-central Ethiopia;Light;NT $500/8 ounces;64;80;220.46;500;Ethiopia;Taipei, Taiwan;Taiwan;Ethiopia
Guatemala Nueva Granda Washed Laurina;94;Taipei, Taiwan;San Marcos, Guatemala;Light;NT $1,000/8 ounces;64;80;0.44;;Guatemala;Taipei, Taiwan;Taiwan;Guatemala
Ethiopia Shantawene Washed;96;Floyd, Virginia;Sidamo growing region, south-central Ethiopia;Light;$22.00/12 ounces;64;82;6.47;22;Ethiopia;Floyd, Virginia;USA;Ethiopia
Kona Mocca®;95;Holualoa, Hawai’i;Holualoa, North Kona growing district, “Big Island” of Hawai’i;Medium Light;$112.95/8 ounces;58;74;49.8;112.95;;Holualoa, Hawaii;USA;
Ethiopia Worka Sakaro Anaerobic Natural;96;Floyd, Virginia;Gedeb District, Gedeo Zone, southern Ethiopia;Medium Light;$23.00/12 ounces;60;78;6.76;23;Ethiopia;Floyd, Virginia;USA;Ethiopia
Colombia Finca Chambaku;94;Floyd, Virginia;Manizales, Caldas, Colombia;Light;$24.00/12 ounces;62;80;7.05;24;Colombia;Floyd, Virginia;USA;Colombia
Colombia La Siria Gesha;95;San Diego, California;La Argentina, Huila Department, Colombia;Medium Light;$53.00/8 ounces;60;80;23.37;53;Colombia;San Diego, California;USA;Colombia
Ka‘ū Yellow Caturra Peaberry;94;Hilo, Hawaii;Ka‘ū, Big Island of Hawaii;Medium Light;$25.00/4 ounces;60;77;22.05;25;Hawaii;Hilo, Hawaii;USA;United States
Ethiopia Guji Hambela Tirtira Goyo Natural;94;Taichung, Taiwan;Guji Zone, Oromia Region, southern Ethiopia;Light;NT $250/8 ounces;68;84;110.23;250;Ethiopia;Taichung, Taiwan;Taiwan;Ethiopia
El Salvador Unicorn;94;Truckee, California;El Bálsamo Quetzaltepec, El Salvador;Medium Light;$24.00/12 ounces;56;78;7.05;24;Salvador;Truckee, California;USA;El Salvador
Ethiopia Guji Euphora Special Honey Lot;94;Taipei, Taiwan;Guji Zone, Oromia Region, Southern Ethiopia;Medium Light;$12.00/8 ounces;58;72;5.29;12;Ethiopia;Taipei, Taiwan;Taiwan;Ethiopia
Ichamama Kenya;95;Madison, Wisconsin;Nyeri County, Central Province, Kenya;Medium Light;$22.00/12 ounces;59;75;6.47;22;Kenya;Madison, Wisconsin;USA;Kenya
La Candelilla Geisha Natural Costa Rica;95;Madison, Wisconsin;Tarrazú, Costa Rica;Medium Light;$19.00/8 ounces;59;77;8.38;19;Rica;Madison, Wisconsin;USA;Costa Rica
El Lechero Peru;94;Madison, Wisconsin;El Carmen Cautivo, Tabaconas, Cajamarca, Peru;Medium Light;$19.00/12 ounces;59;77;5.59;19;Peru;Madison, Wisconsin;USA;Peru
Colombia El Roble Natural Carbonic Java;95;Denver, Colorado;Quindio Department, Colombia;Light;$31.00/8 ounces;63;81;13.67;31;Colombia;Denver, Colorado;USA;Colombia
Colombia Nestor Lasso Sidra;95;San Jose, California;Bruselas, Pitalito, Huila Department, Colombia;Light;$32.99/8 ounces;62;83;14.55;32.99;Colombia;San Jose, California;USA;Colombia
Colombia Yeast Anaerobic Washed Las Flores Bourbon Sidra;95;Chia-Yi, Taiwan;Huila Department, Colombia;Light;NT $550/8 ounces;62;81;242.5;550;Colombia;Chia-Yi, Taiwan;Taiwan;Colombia
Ecuador Cruz Loma Sidra Anaerobic Euphora Special Lot;95;Taipei, Taiwan;San José de Minas, Pichincha Province, Ecuador;Light;$16.00/4 ounces;64;80;14.11;16;Ecuador;Taipei, Taiwan;Taiwan;Ecuador
Colombia El Roble Chiroso Washed;94;Yilan, Taiwan;Quindio Department, Colombia;Medium Light;NT $650/200 grams;58;78;325;22.92768959;Colombia;Yilan, Taiwan;Taiwan;Colombia
Guatemala El Injerto SL28;94;San Rafael, California;La Libertad, Huehuetenango Department, Guatemala;Medium Light;$18.00/6 ounces;62;79;10.58;18;Guatemala;San Rafael, California;USA;Guatemala
Wilton Benitez Java;96;Madison, Wisconsin;Piendamó, Cauca, Colombia;Medium Light;$25.00/8 ounces;60;74;11.02;25;Colombia;Madison, Wisconsin;USA;Colombia
HWC Holy Melody Espresso Blend;94;Taichung, Taiwan;Kenya, Ethiopia;Medium Light;$40.00/8 ounces;57;77;17.64;40;Ethiopia;Taichung, Taiwan;Taiwan;Ethiopia
Panama Bambito Estate Geisha Anaerobic Natural;96;San Diego, California;Volcan Baru, Boquete growing region, Panama;Light;$45.00/4 ounces;65;90;39.68;45;Panama;San Diego, California;USA;Panama
Ethiopia Natural Sidama 74158;96;Chia-Yi, Taiwan;Sidamo growing region, southern Ethiopia;Light;NT $450/4 ounces;62;80;396.83;450;Ethiopia;Chia-Yi, Taiwan;Taiwan;Ethiopia
Mr. Dodd’s TeaTime Blend;95;Chia-Yi, Taiwan;Ethiopia, Guatemala;Medium Light;NT $325/8 ounces;56;72;143.3;325;Guatemala;Chia-Yi, Taiwan;Taiwan;Guatemala
Colombia Double Anaerobic Washed Los Nogales Yellow Bourbon;95;Chia-Yi, Taiwan;Huila Department, Colombia;Light;NT $290/4 ounces;64;80;255.73;290;Colombia;Chia-Yi, Taiwan;Taiwan;Colombia
Colombia El Chaferote Pink Bourbon;95;San Diego, California;Huila Department, Colombia;Medium Light;$28.00/10 ounces;63;77;9.88;28;Colombia;San Diego, California;USA;Colombia
Guatemala El Injerto Ethiopia Landrace Natural;94;San Rafael, California;La Libertad, Huehuetenango Department, Guatemala;Medium Light;$20.00/6 ounces;57;74;11.76;20;Guatemala;San Rafael, California;USA;Guatemala
Holiday Coffee;95;Holualoa, Hawai’i;Holualoa, North Kona growing district, “Big Island” of Hawai’i;Medium Light;$69.95/8 ounces;58;66;30.84;69.95;;Holualoa, Hawaii;USA;
Kenya Muthua-Ini AB;95;San Diego, California;Nyeri growing region, south-central Kenya;Medium Light;$22.00/12 ounces;58;77;6.47;22;Kenya;San Diego, California;USA;Kenya
Kenya Gichuka AA;95;Lee, Massachusetts;Kiambu County, Kenya;Medium Light;$20.95/12 ounces;60;78;6.16;20.95;Kenya;Lee, Massachusetts;USA;Kenya
Colombia Chili Bourbon;94;Lee, Massachusetts;Circasia, Quindio, Colombia;Light;$33.45/12 ounces;62;80;9.83;33.45;Colombia;Lee, Massachusetts;USA;Colombia
Chelbessa Ethiopia;95;Madison, Wisconsin;Chelbessa, Gedeb, Yirgacheffe, south-central Ethiopia;Medium Light;$21.00/12 ounces;60;76;6.17;21;Ethiopia;Madison, Wisconsin;USA;Ethiopia
Ethiopia Yirgacheffe Gedeb Chelbesa Natural;95;Taipei, Taiwan;Chelchele, Gedeb District, Gedeo Zone, Ethiopia;Medium Light;NT $480/8 ounces;59;76;211.64;480;Ethiopia;Taipei, Taiwan;Taiwan;Ethiopia
